Date,Utility,SARS_CoV_2_copies_L,Number_of_New_COVID19_Cases_by_,ObjectId
09/02/2020,Aurora,,23,590
09/02/2020,Boulder,,26,591
09/02/2020,Broomfield,,0,592
09/02/2020,CO Springs - JD Phillips,,5,593
09/02/2020,CO Springs - Las Vegas,,15,594
09/02/2020,Estes Park + Upper Thompson,,0,595
09/02/2020,Fort Collins - Boxelder,,0,596
09/02/2020,Fort Collins - Drake,,10,597
09/02/2020,Fort Collins - Mulberry,,0,598
09/02/2020,Greeley,,8,599
09/02/2020,Longmont,,0,600
09/02/2020,Louisville,,0,601
09/02/2020,Loveland,,7,602
09/02/2020,Metro Wastewater RWHTF - CC,,31,603
09/02/2020,Metro Wastewater RWHTF - PRC,,47,604
09/02/2020,Northglenn,,0,605
09/02/2020,Pueblo,,0,606
09/02/2020,Pueblo West,,0,607
08/24/2020,South Adams County,7933.3,5,608
08/24/2020,South Fort Collins,17102.3,0,609
08/24/2020,SPR,7926.8,8,610
08/24/2020,Wellington Water and Sewer,,0,611
08/25/2020,Aurora,,17,612
08/25/2020,Boulder,,8,613
08/25/2020,Broomfield,,0,614
08/25/2020,CO Springs - JD Phillips,,0,615
08/25/2020,CO Springs - Las Vegas,,19,616
08/25/2020,Estes Park + Upper Thompson,,0,617
08/25/2020,Fort Collins - Boxelder,,0,618
08/25/2020,Fort Collins - Drake,,6,619
08/25/2020,Fort Collins - Mulberry,,0,620
08/25/2020,Greeley,,5,621
08/25/2020,Longmont,,0,622
08/25/2020,Louisville,,0,623
08/25/2020,Loveland,,0,624
08/25/2020,Metro Wastewater RWHTF - CC,,33,625
08/25/2020,Metro Wastewater RWHTF - PRC,,46,626
08/25/2020,Northglenn,8152.9,0,627
08/25/2020,Pueblo,,5,628
08/25/2020,Pueblo West,,0,629
08/25/2020,South Adams County,,5,630
08/25/2020,South Fort Collins,,0,631
08/25/2020,SPR,,8,632
08/25/2020,Wellington Water and Sewer,,0,633
08/26/2020,Aurora,,22,634
08/26/2020,Boulder,,7,635
08/26/2020,Broomfield,,0,636
08/26/2020,CO Springs - JD Phillips,,0,637
08/26/2020,CO Springs - Las Vegas,,22,638
